supplier,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,sum total years, share of global arms exports
East Germany (GDR),0,0,0,0,0,0,0,0,0,0,17,25,17,29,39,26,0,0,0,0,0,0,0,0,11,0,12,25,15,35,34,43,3,0,0,0,39,116,116,149,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,0.04%
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,5,11,105,21,0,4,4,2,0,0,1,0,0,1,1,0,71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,46,0,0,0,0,18,7,172,56,3,3,46,11,2,10,705,0.03%
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,12,0,0,0,0,0,0,0,9,0,4,0,0,0,0,8,4,0,0,0,0,0,0,18,18,27,0,9,0,54,0,18,54,0,27,9,9,0,1,0,0,4,0,0,0,0,85,94,15,9,0,17,0,0,512,0.02%
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,36,0,0,217,0,0,6,42,60,13,0,18,3,19,29,20,0,12,0,0,0,0,0,0,0,0,0,0,0,0,486,0.02%
Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,2,2,0,0,0,0,0,0,178,46,1,32,31,0,15,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0.02%
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,20,0,0,0,0,5,5,45,0,31,4,15,10,10,62,86,11,27,26,49,3,0,0,434,0.02%
Hungary,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,18,18,37,28,0,0,8,44,8,8,0,0,0,0,4,30,4,4,0,0,0,0,0,0,0,0,0,21,0,6,0,24,0,0,0,0,34,0,0,82,0,9,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,433,0.02%
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,48,47,41,41,38,1,40,40,21,10,0,0,0,0,0,13,46,0,432,0.02%
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,15,30,30,0,0,0,0,0,0,1,82,3,0,0,2,0,0,0,0,0,4,0,9,8,9,25,4,0,1,0,0,0,0,0,0,0,1,3,3,1,0,53,1,5,299,0.01%
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42,6,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,16,0,0,2,0,0,4,2,2,0,2,2,3,0,0,258,0.01%
